"No.","Time","Source","Destination","Protocol","Length","Info"
"192","97.265698","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x8f2d, seq=1434/39429, ttl=64 (no response found!)"
"193","99.267439","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x912d, seq=1435/39685, ttl=64 (no response found!)"
"194","99.929119","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"195","101.268901","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x932d, seq=1436/39941, ttl=64 (no response found!)"
"196","103.269953","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x952d, seq=1437/40197, ttl=64 (no response found!)"
"197","103.279707","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"198","104.280696","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x962d, seq=1438/40453, ttl=64 (no response found!)"
"199","104.290231","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"200","105.291405","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x982d, seq=1439/40709, ttl=64 (no response found!)"
"201","105.293695","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"202","106.294664","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x992d, seq=1440/40965, ttl=64 (no response found!)"
"203","106.296701","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"204","106.492774","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"205","107.298762","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x9a2d, seq=1441/41221, ttl=64 (no response found!)"
"206","107.309026","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"207","108.311123","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x9b2d, seq=1442/41477, ttl=64 (no response found!)"
"208","108.318167","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"209","109.290231","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
